order_id,customer_id,product_id,quantity,order_date,ship_date,delivery_date,price,total_price,category
618,82,25,3,2024-11-09,2024-11-10,,486.23,1458.69,Home
860,93,2,4,2024-10-07,2024-10-11,2024-10-21,380.33,1521.32,Home
70,20,18,3,2024-10-23,2024-10-24,2024-10-29,386.61,1159.83,Home
387,87,47,4,2025-07-05,2025-07-05,2025-07-06,48.59,194.36,Home
143,60,4,5,2024-10-06,2024-10-09,2024-10-17,84.89,424.45,Home
162,54,4,2,2025-06-28,2025-07-03,2025-07-08,84.89,169.78,Home
777,85,31,5,2025-02-13,2025-02-16,2025-02-23,258.75,1293.75,Home
916,28,31,2,2024-10-02,2024-10-05,2024-10-12,258.75,517.5,Home
941,22,9,5,2025-04-10,2025-04-12,2025-04-20,301.99,1509.95,Home
828,24,9,4,2025-02-20,2025-02-25,2025-02-26,301.99,1207.96,Home
595,19,9,1,2025-05-19,2025-05-21,2025-05-27,301.99,301.99,Home
699,65,42,2,2024-09-17,2024-09-20,2024-09-30,492.81,985.62,Home
358,60,41,3,2025-03-30,2025-03-31,2025-04-03,187.86,563.58,Sports
262,34,43,1,2024-10-04,2024-10-07,2024-10-08,405.32,405.32,Sports
120,54,43,4,2025-07-26,2025-07-29,2025-08-05,405.32,1621.28,Sports
29,36,30,2,2025-01-16,2025-01-19,2025-01-29,422.42,844.84,Sports
711,39,30,1,2025-03-22,2025-03-25,2025-03-28,422.42,422.42,Sports
413,16,30,1,2025-07-07,2025-07-07,2025-07-17,422.42,422.42,Sports
579,57,30,3,2025-01-11,2025-01-14,2025-01-24,422.42,1267.26,Sports
680,48,30,5,2025-05-27,2025-05-28,2025-05-29,422.42,2112.1,Sports
433,39,30,1,2025-02-11,2025-02-12,2025-02-19,422.42,422.42,Sports
677,16,13,2,2025-07-11,2025-07-14,2025-07-22,471.79,943.58,Sports
918,28,13,1,2025-03-07,2025-03-07,2025-03-08,471.79,471.79,Sports
3,71,11,3,2025-08-22,2025-08-24,2025-09-01,133.19,399.57,Sports
675,39,11,2,2024-10-31,2024-11-01,2024-11-03,133.19,266.38,Sports
940,59,11,3,2025-01-08,2025-01-09,2025-01-16,133.19,399.57,Sports
35,8,11,4,2024-12-25,2024-12-29,2025-01-05,133.19,532.76,Sports
521,23,50,4,2025-04-05,2025-04-06,2025-04-16,489.21,1956.84,Sports
37,59,19,4,2025-07-05,2025-07-05,2025-07-12,176.69,706.76,Sports
695,67,19,1,2025-02-25,2025-03-02,2025-03-05,176.69,176.69,Sports
956,65,45,4,2025-07-30,2025-08-03,2025-08-05,128.03,512.12,Sports
199,14,45,3,2024-09-28,2024-09-30,2024-10-03,128.03,384.09,Sports
